Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"PI, TTLCONS, PCESV, PPIACO, SP500, DJIA",0.7502294970995953,0.7468001538103449,3.149631230819797e-128,4434.535362467148,4463.206134404173,"const: 1.7538, PI: -0.0064, TTLCONS: 0.0001, PCESV: 0.0065, PPIACO: 0.6118, SP500: 0.0360, DJIA: -0.0022"
"PI, TTLCONS, PCESV, NASDAQCOM, REVOLSL, SP500",0.7495759462476506,0.7461376297201583,5.565208943980158e-128,4435.695617969863,4464.366389906888,"const: 36.6471, PI: -0.0011, TTLCONS: 0.0000, PCESV: 0.0007, NASDAQCOM: 0.0030, REVOLSL: 0.0953, SP500: 0.0166"
"PI, TTLCONS, PCESV, NASDAQCOM, REVOLSL, DJIA",0.7472528416526929,0.7437826289522722,4.159481585200372e-127,4439.795477994887,4468.466249931912,"const: 36.1406, PI: -0.0006, TTLCONS: 0.0000, PCESV: 0.0002, NASDAQCOM: 0.0038, REVOLSL: 0.0877, DJIA: 0.0017"
"PI, TTLCONS, PCESV, NASDAQCOM, SP500, DJIA",0.7417953108005028,0.7382501663263679,4.364354485020196e-125,4449.2806608560895,4477.951432793115,"const: 35.6904, PI: 0.0005, TTLCONS: 0.0000, PCESV: 0.0071, NASDAQCOM: 0.0006, SP500: 0.0548, DJIA: -0.0052"
"PI, TTLCONS, PCESV, REVOLSL, SP500, DJIA",0.7532521234272211,0.7498642807282814,2.2200524790177497e-129,4429.129469256395,4457.80024119342,"const: 33.8470, PI: -0.0019, TTLCONS: 0.0000, PCESV: 0.0036, REVOLSL: 0.1027, SP500: 0.0870, DJIA: -0.0079"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, REVOLSL",0.7672465153000982,0.7640508152813353,6.632867363271791e-135,4403.205559208646,4431.876331145671,"const: -25.7902, PI: 0.0015, TTLCONS: 0.0001, RSAFS: -0.0004, PPIACO: 0.6740, NASDAQCOM: 0.0071, REVOLSL: 0.0475"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, SP500",0.7673933491222642,0.7641996651285196,5.780742936684111e-135,4402.925370966375,4431.5961429034005,"const: -26.7489, PI: -0.0005, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.8867, NASDAQCOM: 0.0035, SP500: 0.0096"
"PI, TTLCONS, RSAFS, PPIACO, NASDAQCOM, DJIA",0.7680904263669719,0.7649063132278456,3.005824460743308e-135,4401.592790907174,4430.263562844199,"const: -28.0308, PI: -0.0012, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9239, NASDAQCOM: 0.0036, DJIA: 0.0012"
"PI, TTLCONS, RSAFS, PPIACO, REVOLSL, SP500",0.7820802745274755,0.7790882416834592,3.883408441690259e-141,4373.966771839545,4402.63754377657,"const: -32.5354, PI: -0.0059, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9624, REVOLSL: 0.1115, SP500: 0.0270"
"PI, TTLCONS, RSAFS, PPIACO, REVOLSL, DJIA",0.7794189733490439,0.776390400900747,5.47162778231939e-140,4379.356191244979,4408.026963182004,"const: -35.0898, PI: -0.0058, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 1.0012, REVOLSL: 0.0986, DJIA: 0.0031"
"PI, TTLCONS, RSAFS, PPIACO, SP500, DJIA",0.763655468600456,0.7604104635926819,1.8643916524715734e-133,4410.003523926829,4438.674295863854,"const: -29.7533, PI: -0.0002, TTLCONS: 0.0001, RSAFS: -0.0003, PPIACO: 0.9102, SP500: 0.0022, DJIA: 0.0016"
"PI, TTLCONS, RSAFS, NASDAQCOM, REVOLSL, SP500",0.762334036097938,0.7590708878521432,6.282390579957041e-133,4412.479070594511,4441.149842531536,"const: 26.2266, PI: 0.0038, TTLCONS: 0.0001, RSAFS: -0.0002, NASDAQCOM: 0.0030, REVOLSL: 0.0975, SP500: 0.0135"
"PI, TTLCONS, RSAFS, NASDAQCOM, REVOLSL, DJIA",0.7604253954214168,0.7571360415828093,3.589082784160609e-132,4416.0304911338635,4444.701263070889,"const: 25.5281, PI: 0.0043, TTLCONS: 0.0001, RSAFS: -0.0003, NASDAQCOM: 0.0036, REVOLSL: 0.0877, DJIA: 0.0013"
